
[veu-audit] ===== desktop — 133 nós de texto =====
seletor | cor | opacidade | fontSize | fontWeight | ratio | piso | resultado
#cl-hero span "// FRESHLY BREWED · DUBLIN 8" | rgb(247,242,234) | 1 | 9.92px | 400 | 5.74:1 | 4.5:1 | APROVA
#cl-hero span "Café Lisboa" | rgb(247,242,234) | 1 | 80px | 400 | 6.19:1 | 3:1 | APROVA
#cl-hero span "Your morning, done right." | rgb(200,155,106) | 1 | 30.4px | 400 | 3.02:1 | 3:1 | APROVA
#cl-hero p "Open since seven. The first pour goes ou" | rgb(248,242,234) | 0.8 | 16.8px | 400 | 5.98:1 | 4.5:1 | APROVA
#cl-hero a "View the menu" | rgb(28,22,20) | 1 | 15.2px | 500 | 7.11:1 | 4.5:1 | APROVA
#cl-hero a "Find us→" | rgb(247,242,234) | 1 | 14.4px | 400 | 8.98:1 | 4.5:1 | APROVA
#cl-hero span "4.8" | rgb(247,242,234) | 1 | 41.6px | 400 | 15.36:1 | 3:1 | APROVA
#cl-hero span "GOOGLE RATING" | rgb(247,242,234) | 0.85 | 11px | 400 | 11.51:1 | 4.5:1 | APROVA
#cl-hero span "503" | rgb(247,242,234) | 1 | 41.6px | 400 | 14.44:1 | 3:1 | APROVA
#cl-hero span "REVIEWS" | rgb(247,242,234) | 0.85 | 11px | 400 | 9.04:1 | 4.5:1 | APROVA
#cl-hero span "7AM" | rgb(247,242,234) | 1 | 41.6px | 400 | 7.87:1 | 3:1 | APROVA
#cl-hero span "OPEN FROM" | rgb(247,242,234) | 0.85 | 11px | 400 | 5.88:1 | 4.5:1 | APROVA
#cl-manifesto span "02 · Manifesto" | rgb(120,113,108) | 1 | 13px | 400 | 4.53:1 | 4.5:1 | APROVA
#cl-manifesto span "Meath Street, every" | rgb(28,25,23) | 1 | 48px | 400 | 16.5:1 | 3:1 | APROVA
#cl-manifesto span "morning since 2019." | rgb(28,25,23) | 1 | 48px | 400 | 16.5:1 | 3:1 | APROVA
#cl-manifesto div "We opened the green corner door in 2019." | rgb(120,113,108) | 1 | 17px | 400 | 4.53:1 | 4.5:1 | APROVA
#cl-manifesto div "This isn’t a place to rush through. Ther" | rgb(120,113,108) | 1 | 17px | 400 | 4.53:1 | 4.5:1 | APROVA
#cl-manifesto div "Ask for Sara behind the counter — she’s " | rgb(120,113,108) | 1 | 17px | 400 | 4.53:1 | 4.5:1 | APROVA
